,Quarter,Tm,Detail,KAN,CIN
0,1,Bengals,Larry Kinnebrew 1 yard rush (Jim Breech kick),0,7
1,1,Bengals,Jim Breech 37 yard field goal,0,10
2,2,Chiefs,Nick Lowery 39 yard field goal,3,10
3,2,Bengals,Tim McGee 8 yard pass from Boomer Esiason (Jim Breech kick),3,17
4,3,Chiefs,Christian Okoye 1 yard rush (Nick Lowery kick),10,17
5,3,Bengals,Jim Breech 27 yard field goal,10,20
6,3,Chiefs,Stephone Paige 24 yard pass from Bill Kenney (Nick Lowery kick),17,20
7,4,Chiefs,Kevin Ross 65 yard blocked field goal return (Nick Lowery kick),24,20
8,4,Bengals,James Brooks 23 yard pass from Boomer Esiason (Jim Breech kick),24,27
9,4,Chiefs,Nick Lowery 33 yard field goal,27,27
10,OT,Bengals,Jim Breech 32 yard field goal,27,30
