,Quarter,Tm,Detail,WAS,BUF
0,2.0,Redskins,Chip Lohmiller 34 yard field goal,3,0
1,2.0,Redskins,Earnest Byner 10 yard pass from Mark Rypien (Chip Lohmiller kick),10,0
2,2.0,Redskins,Gerald Riggs 1 yard rush (Chip Lohmiller kick),17,0
3,3.0,Redskins,Gerald Riggs 2 yard rush (Chip Lohmiller kick),24,0
4,3.0,Bills,Scott Norwood 21 yard field goal,24,3
5,3.0,Bills,Thurman Thomas 1 yard rush (Scott Norwood kick),24,10
6,3.0,Redskins,Gary Clark 30 yard pass from Mark Rypien (Chip Lohmiller kick),31,10
7,4.0,Redskins,Chip Lohmiller 25 yard field goal,34,10
8,4.0,Redskins,Chip Lohmiller 39 yard field goal,37,10
9,4.0,Bills,Pete Metzelaars 2 yard pass from Jim Kelly (Scott Norwood kick),37,17
10,4.0,Bills,Don Beebe 4 yard pass from Jim Kelly (Scott Norwood kick),37,24
