,Quarter,Time,Tm,Detail,PHI,NYG
0,1.0,,Giants,Brad Daluiso 39 yard field goal,0,3
1,2.0,,Eagles,Gary Anderson 39 yard field goal,3,3
2,2.0,,Giants,Amani Toomer 65 yard punt return (Brad Daluiso kick),3,10
3,3.0,,Eagles,Gary Anderson 46 yard field goal,6,10
4,4.0,,Eagles,Gary Anderson 45 yard field goal,9,10
5,4.0,,Eagles,Gary Anderson 29 yard field goal,12,10
6,4.0,,Eagles,William Thomas 23 yard defensive fumble return (Gary Anderson kick),19,10
