,Quarter,Tm,Detail,SFO,DAL
0,1.0,49ers,Ken Willard 1 yard rush (Momcilo Gavric kick),7,0
1,1.0,49ers,Ken Willard 19 yard pass from John Brodie (Momcilo Gavric kick),14,0
2,2.0,Cowboys,Dan Reeves 1 yard rush (Mike Clark kick),14,7
3,3.0,Cowboys,Mike Clark 24 yard field goal,14,10
4,3.0,Cowboys,Bob Hayes 31 yard pass from Craig Morton (Mike Clark kick),14,17
5,3.0,49ers,Gene Washington 19 yard pass from John Brodie (Momcilo Gavric kick),21,17
6,3.0,49ers,Momcilo Gavric 21 yard field goal,24,17
7,4.0,Cowboys,Lance Rentzel 19 yard pass from Craig Morton (Mike Clark kick),24,24
