,Quarter,Tm,Detail,HOU,KAN
0,1.0,Chiefs,Mike Garrett 2 yard rush (Jan Stenerud kick),0,7
1,1.0,Chiefs,George Daney 5 yard special teams fumble return (Jan Stenerud kick),0,14
2,2.0,Chiefs,Jan Stenerud 30 yard field goal,0,17
3,2.0,Chiefs,Robert Holmes 33 yard pass from Tom Flores (Jan Stenerud kick),0,24
