,Quarter,Tm,Detail,RAM,GNB
0,1.0,Rams,Curt Warner 6 yard rush (Mike Lansford kick),7,0
1,2.0,Packers,Ed West 4 yard pass from Anthony Dilweg (Chris Jacke kick),7,7
2,2.0,Packers,Chris Jacke 26 yard field goal,7,10
3,2.0,Rams,Flipper Anderson 40 yard pass from Jim Everett (Mike Lansford kick),14,10
4,2.0,Packers,Jeff Query 47 yard pass from Anthony Dilweg (Chris Jacke kick),14,17
5,3.0,Packers,Chris Jacke 53 yard field goal,14,20
6,3.0,Rams,Mike Lansford 41 yard field goal,17,20
7,4.0,Packers,Ed West 7 yard pass from Anthony Dilweg (Chris Jacke kick),17,27
8,4.0,Packers,Brent Fullwood 2 yard rush,17,33
9,4.0,Rams,Pete Holohan 2 yard pass from Jim Everett (Mike Lansford kick),24,33
10,4.0,Packers,Chris Jacke 40 yard field goal,24,36
