,Quarter,Tm,Detail,BUF,NYJ
0,1.0,Jets,Pat Leahy 24 yard field goal,0,3
1,1.0,Jets,Pat Leahy 29 yard field goal,0,6
2,2.0,Bills,Frank Lewis 23 yard pass from Joe Ferguson (Nick Mike-Mayer kick),7,6
3,3.0,Jets,Bruce Harper 29 yard rush (Pat Leahy kick),7,13
4,3.0,Jets,Jerome Barkum 19 yard pass from Richard Todd (Pat Leahy kick),7,20
5,3.0,Bills,Jerry Butler 67 yard pass from Joe Ferguson (Nick Mike-Mayer kick),14,20
6,3.0,Jets,Bobby Jones 61 yard offensive fumble return (Pat Leahy kick),14,27
7,4.0,Jets,Pat Leahy 39 yard field goal,14,30
8,4.0,Jets,Pat Leahy 22 yard field goal,14,33
