,Quarter,Tm,Detail,CRD,DET
0,1.0,Lions,Harry Ebding blocked punt recovery in end zone (Glenn Presnell kick),0,7
1,2.0,Lions,Ernie Caddel 5 yard rush (Dutch Clark kick),0,14
2,2.0,Lions,John Schneller 30 yard pass from Dutch Clark (Dutch Clark kick),0,21
3,2.0,Lions,Bill Shepherd 8 yard rush,0,27
4,3.0,Lions,Glenn Presnell 11 yard rush,0,33
5,3.0,Lions,Ike Peterson 12 yard rush,0,39
