,Quarter,Tm,Detail,BKN,DET
0,3.0,Lions,Chuck Hanneman 32 yard pass from Johnny Pingel (Monk Moscrip kick failed),0,6
1,3.0,Dodgers,Ace Parker 7 yard rush (Bruiser Kinard kick),7,6
2,4.0,Lions,Lloyd Cardwell 28 yard pass from Johnny Pingel (Monk Moscrip kick),7,13
3,4.0,Lions,Dwight Sloan 2 yard rush (Monk Moscrip kick),7,20
4,4.0,Lions,Dwight Sloan 14 yard rush (Monk Moscrip kick),7,27
