,Quarter,Time,Tm,Detail,DAL,MIN
0,1.0,11:09,Cowboys,Eddie Murray 18 yard field goal,3,0
1,1.0,7:59,Vikings,Gary Anderson 47 yard field goal,3,3
2,1.0,5:00,Cowboys,Emmitt Smith 5 yard rush (Eddie Murray kick),10,3
3,2.0,9:21,Vikings,Robert Smith 26 yard pass from Jeff George (Gary Anderson kick),10,10
4,2.0,0:28,Vikings,Randy Moss 58 yard pass from Jeff George (Gary Anderson kick),10,17
5,3.0,3:10,Vikings,Gary Anderson 38 yard field goal,10,20
6,4.0,12:40,Vikings,Cris Carter 5 yard pass from Jeff George (Gary Anderson kick),10,27
