,Quarter,Time,Tm,Detail,SFO,DAL
0,1.0,1:16,49ers,Wade Richey 38 yard field goal,3,0
1,2.0,11:05,Cowboys,Tim Seder 40 yard field goal,3,3
2,2.0,7:02,49ers,Charlie Garner 1 yard rush (Wade Richey kick),10,3
3,2.0,2:49,49ers,Terrell Owens 3 yard pass from Jeff Garcia (Wade Richey kick),17,3
4,2.0,1:42,Cowboys,Emmitt Smith 1 yard rush (Tim Seder kick),17,10
5,3.0,13:14,49ers,Jerry Rice 68 yard pass from Jeff Garcia (Wade Richey kick),24,10
6,3.0,10:43,49ers,Wade Richey 47 yard field goal,27,10
7,4.0,14:15,49ers,Jerry Rice 5 yard pass from Jeff Garcia (Wade Richey kick),34,10
8,4.0,11:08,Cowboys,Jackie Harris 11 yard pass from Troy Aikman (Tim Seder kick),34,17
9,4.0,4:05,49ers,Terrell Owens 1 yard pass from Jeff Garcia (Wade Richey kick),41,17
10,4.0,3:23,Cowboys,Jackie Harris 16 yard pass from Clint Stoerner (Tim Seder kick),41,24
