,Quarter,Time,Tm,Detail,IND,BAL
0,1.0,8:57,Ravens,Matt Stover 26 yard field goal,0,3
1,1.0,3:28,Colts,Mike Vanderjagt 33 yard field goal,3,3
2,2.0,13:31,Ravens,Obafemi Ayanbadejo 5 yard pass from Elvis Grbac (Matt Stover kick),3,10
3,2.0,7:34,Colts,Jeff Burris 30 yard interception return (Mike Vanderjagt kick),10,10
4,2.0,1:00,Ravens,Matt Stover 30 yard field goal,10,13
5,2.0,0:05,Ravens,Matt Stover 29 yard field goal,10,16
6,3.0,13:37,Ravens,Matt Stover 27 yard field goal,10,19
7,3.0,5:54,Colts,Mike Vanderjagt 25 yard field goal,13,19
8,3.0,3:54,Colts,Marcus Pollard 40 yard pass from Peyton Manning (Mike Vanderjagt kick),20,19
9,3.0,2:14,Ravens,Obafemi Ayanbadejo 9 yard rush (Matt Stover kick),20,26
10,3.0,1:06,Colts,Marvin Harrison 57 yard pass from Peyton Manning (Mike Vanderjagt kick),27,26
11,4.0,13:29,Ravens,Qadry Ismail 5 yard pass from Elvis Grbac (pass failed),27,32
12,4.0,1:34,Ravens,Rod Woodson 47 yard interception return (Matt Stover kick),27,39
