,Quarter,Time,Tm,Detail,STL,NOR
0,1.0,,Saints,Doug Brien 49 yard field goal,0,3
1,1.0,,Saints,Mark Fields 21 yard defensive fumble return (Doug Brien kick),0,10
2,2.0,,Rams,Ernie Conwell 3 yard pass from Tony Banks (Jeff Wilkins kick),7,10
3,2.0,,Rams,Jeff Wilkins 37 yard field goal,10,10
4,2.0,,Saints,Doug Brien 53 yard field goal,10,13
5,2.0,,Rams,Jeff Wilkins 34 yard field goal,13,13
6,3.0,,Saints,Andre Hastings 34 yard pass from Billy Joe Hobert (Doug Brien kick),13,20
7,4.0,,Saints,Irv Smith 1 yard pass from Billy Joe Hobert (Doug Brien kick),13,27
8,4.0,,Rams,Jerald Moore 3 yard rush (Jeff Wilkins kick),20,27
9,4.0,,Rams,Isaac Bruce 30 yard pass from Tony Banks (Jeff Wilkins kick),27,27
10,4.0,,Rams,Isaac Bruce 5 yard pass from Tony Banks (Jeff Wilkins kick),34,27
