,Quarter,Tm,Detail,NOR,PIT
0,1.0,Saints,Morten Andersen 25 yard field goal,3,0
1,2.0,Steelers,Dwayne Woodruff 33 yard interception return (Gary Anderson kick),3,7
2,2.0,Steelers,Walter Abercrombie 5 yard rush (Gary Anderson kick),3,14
3,3.0,Saints,Rueben Mayes 5 yard rush (Morten Andersen kick),10,14
4,4.0,Saints,Eric Martin 19 yard pass from Bobby Hebert (Morten Andersen kick),17,14
5,4.0,Saints,Morten Andersen 32 yard field goal,20,14
6,4.0,Steelers,"Safety, Hansen ran out of end zone",20,16
