,Quarter,Tm,Detail,CHI,NYG
0,1.0,Giants,Gene Roberts 29 yard pass from Charlie Conerly (Ben Agajanian kick),0,7
1,2.0,Giants,Bill Swiacki 35 yard pass from Charlie Conerly (Ben Agajanian kick),0,14
2,3.0,Giants,Emlen Tunnell 45 yard interception return (Ben Agajanian kick),0,21
3,3.0,Bears,Jim Keane 3 yard pass from Johnny Lujack (Johnny Lujack kick),7,21
4,3.0,Bears,George McAfee 11 yard rush (Johnny Lujack kick),14,21
5,3.0,Giants,Gene Roberts 62 yard pass from Charlie Conerly (Ben Agajanian kick),14,28
6,4.0,Bears,George Gulyanics 11 yard pass from Johnny Lujack (Johnny Lujack kick),21,28
7,4.0,Bears,Julie Rykovich 5 yard rush (Johnny Lujack kick),28,28
8,4.0,Giants,Gene Roberts 85 yard pass from Charlie Conerly (Ben Agajanian kick),28,35
