,Quarter,Tm,Detail,RAM,GNB
0,1.0,Packers,Bobby Jack Floyd 14 yard rush (Fred Cone kick),0,7
1,2.0,Rams,Bob Waterfield 16 yard field goal,3,7
2,2.0,Rams,Bob Waterfield 32 yard field goal,6,7
3,2.0,Packers,Billy Howton 69 yard pass from Tobin Rote (Fred Cone kick),6,14
4,3.0,Packers,Bob Mann 17 yard pass from Tobin Rote (Fred Cone kick),6,21
5,3.0,Packers,Bob Mann 6 yard pass from Babe Parilli (Fred Cone kick),6,28
6,4.0,Rams,Dan Towler 1 yard rush (Bob Waterfield kick),13,28
7,4.0,Rams,Bob Waterfield 25 yard field goal,16,28
8,4.0,Rams,Bob Carey 16 yard fumble return (Bob Waterfield kick),23,28
9,4.0,Rams,Dan Towler 3 yard rush (Bob Waterfield kick),30,28
