,Quarter,Tm,Detail,PHI,BKN
0,1.0,Eagles,Steve Van Buren 44 yard rush (Roy Zimmerman kick),7,0
1,1.0,Eagles,Steve Van Buren 70 yard rush (Roy Zimmerman kick),14,0
2,2.0,Eagles,Mel Bleeker 57 yard pass from Roy Zimmerman (Roy Zimmerman kick),21,0
3,3.0,Tigers,Andy Kowalski 58 yard pass from Cecil Johnson (Bruiser Kinard kick),21,7
