,Quarter,Time,Tm,Detail,JAX,PIT
0,2.0,,Steelers,Yancey Thigpen 12 yard pass from Mike Tomczak (Norm Johnson kick),0,7
1,2.0,12:21,Steelers,Jerome Bettis 3 yard rush (Norm Johnson kick),0,14
2,2.0,12:21,Jaguars,Mike Hollis 40 yard field goal,3,14
3,3.0,12:21,Steelers,Carnell Lake 85 yard defensive fumble return (Norm Johnson kick),3,21
4,3.0,12:21,Steelers,Yancey Thigpen 28 yard pass from Mike Tomczak (Norm Johnson kick),3,28
