,Quarter,Tm,Detail,SIS,TOR
0,2,Tornadoes,Carl Waite 7 yard pass from Frank Kirkleski (Jim Mooney kick),0,7
1,4,Stapletons,Ken Strong 64 yard pass from Doug Wycoff (Ken Strong kick),7,7
