,Quarter,Tm,Detail,OOR,BUF
0,1.0,All-Americans,Buck Gavin 25 yard rush (Frank Morrissey kick),0,7
1,2.0,Indians,Jim Thorpe 2 yard rush,6,7
2,4.0,Indians,Jim Thorpe 20 yard rush (Joe Guyon pass from Jim Thorpe),13,7
3,4.0,Indians,Joe Guyon 30 yard pass from Jim Thorpe,19,7
