,Quarter,Tm,Detail,CAN,TOL
0,1.0,Bulldogs,Pete Henry 45 yard field goal,3,0
1,2.0,Bulldogs,Doc Elliott unknown yard rush,10,0
2,4.0,Bulldogs,Pete Henry 45 yard field goal,13,0
3,4.0,Bulldogs,Guy Chamberlin unknown yard pass from Wooky Roberts,19,0
