,Quarter,Tm,Detail,SDG,NOR
0,1,Chargers,Mike Fuller 88 yard punt return (Rolf Benirschke kick),7,0
1,4,Chargers,Rickey Young 5 yard rush (Rolf Benirschke kick),14,0
