,Quarter,Time,Tm,Detail,ARI,CIN
0,1.0,8:31,Bengals,Randy Bullock 23 yard field goal,0,3
1,1.0,3:46,Cardinals,Kyler Murray 6 yard rush (Zane Gonzalez kick),7,3
2,2.0,5:13,Cardinals,Zane Gonzalez 23 yard field goal,10,3
3,2.0,3:32,Bengals,Randy Bullock 48 yard field goal,10,6
4,2.0,0:01,Cardinals,Zane Gonzalez 20 yard field goal,13,6
5,3.0,8:38,Bengals,Randy Bullock 23 yard field goal,13,9
6,4.0,13:28,Cardinals,Zane Gonzalez 22 yard field goal,16,9
7,4.0,7:21,Cardinals,Chase Edmonds 37 yard rush (Zane Gonzalez kick),23,9
8,4.0,4:11,Bengals,Auden Tate 2 yard pass from Andy Dalton (Randy Bullock kick),23,16
9,4.0,2:08,Bengals,Tyler Boyd 42 yard pass from Andy Dalton (Randy Bullock kick),23,23
10,4.0,0:02,Cardinals,Zane Gonzalez 31 yard field goal,26,23
