,Quarter,Tm,Detail,NYG,DET
0,1.0,Lions,Nick Ryder 23 yard pass from Earl Morrall (Wayne Walker kick),0,7
1,1.0,Giants,Don Chandler 21 yard field goal,3,7
2,2.0,Lions,Tom Watkins 61 yard punt return (Wayne Walker kick),3,14
3,2.0,Lions,"Safety, Gaubatz covered punt carried into end zone by Childs",3,16
4,2.0,Lions,Wayne Walker 48 yard field goal,3,19
5,2.0,Lions,Terry Barr 58 yard pass from Tom Watkins (Wayne Walker kick),3,26
