,Quarter,Time,Tm,Detail,HOU,JAX
0,1.0,,Jaguars,Mike Hollis 38 yard field goal,0,3
1,1.0,,Oilers,Al Del Greco 32 yard field goal,3,3
2,1.0,,Jaguars,James Stewart 5 yard rush (Mike Hollis kick),3,10
3,1.0,,Oilers,Eddie George 1 yard rush (Al Del Greco kick),10,10
4,2.0,,Oilers,Malcolm Floyd 63 yard pass from Chris Chandler (Al Del Greco kick),17,10
5,2.0,,Jaguars,Mike Hollis 37 yard field goal,17,13
6,2.0,,Oilers,Frank Wycheck 7 yard pass from Chris Chandler (Al Del Greco kick),24,13
7,3.0,,Oilers,Willie Davis 11 yard pass from Chris Chandler (Al Del Greco kick),31,13
8,3.0,,Jaguars,Jimmy Smith 5 yard pass from Mark Brunell (Mike Hollis kick),31,20
9,4.0,,Oilers,Al Del Greco 29 yard field goal,34,20
10,4.0,3:08,Jaguars,Keenan McCardell 3 yard pass from Mark Brunell (Mike Hollis kick),34,27
