,Quarter,Tm,Detail,GNB,TAM
0,1.0,Buccaneers,Ricky Reynolds 15 yard defensive fumble return (Ken Willis kick),0,7
1,1.0,Buccaneers,Mark Carrier 8 yard pass from Vinny Testaverde (Ken Willis kick),0,14
2,2.0,Buccaneers,Ken Willis 22 yard field goal,0,17
3,3.0,Packers,Chris Jacke 33 yard field goal,3,17
4,3.0,Buccaneers,Willie Drewrey 13 yard pass from Vinny Testaverde (Ken Willis kick),3,24
5,4.0,Buccaneers,Vinny Testaverde 2 yard rush (Ken Willis kick),3,31
