,Quarter,Tm,Detail,WAS,CLE
0,1.0,Browns,Bobby Crespino 4 yard pass from Frank Ryan (Lou Groza kick),0,7
1,1.0,Browns,Lou Groza 42 yard field goal,0,10
2,2.0,Redskins,Pat Richter 7 yard pass from Norm Snead (Bob Khayat kick),7,10
3,2.0,Browns,Jim Brown 83 yard pass from Frank Ryan (Lou Groza kick),7,17
4,2.0,Browns,Jim Brown 10 yard rush (Lou Groza kick),7,24
5,3.0,Browns,Lou Groza 24 yard field goal,7,27
6,3.0,Redskins,Bobby Mitchell 99 yard pass from George Izo (Bob Khayat kick),14,27
7,4.0,Browns,Jim Brown 80 yard rush (Lou Groza kick),14,34
8,4.0,Browns,Lou Groza 39 yard field goal,14,37
