,Quarter,Time,Tm,Detail,MIA,ATL
0,1.0,15:00,Falcons,O.J. Santiago 62 yard pass from Chris Chandler (Morten Andersen kick),0,7
1,1.0,12:13,Falcons,O.J. Santiago 2 yard pass from Chris Chandler (Morten Andersen kick),0,14
2,1.0,7:22,Falcons,Ronnie Bradford 11 yard interception return (Morten Andersen kick),0,21
3,2.0,12:58,Dolphins,O.J. McDuffie 12 yard pass from Dan Marino,6,21
4,2.0,5:39,Falcons,Morten Andersen 35 yard field goal,6,24
5,3.0,14:16,Falcons,Tony Martin 35 yard pass from Steve DeBerg (Morten Andersen kick),6,31
6,3.0,12:34,Falcons,Jamal Anderson 36 yard rush (Morten Andersen kick),6,38
7,3.0,7:20,Dolphins,Dan Marino 3 yard rush (Olindo Mare kick),13,38
8,3.0,2:30,Dolphins,Olindo Mare 26 yard field goal,16,38
