,Quarter,Tm,Detail,COL,CAN
0,1,Tigers,Pete Barnum 103 yard interception return (Lou Reichel kick),7,0
1,2,Tigers,Flop Gorrill 42 yard pass from Bob Rapp (Lou Reichel kick),14,0
2,4,Bulldogs,"Safety,",14,2
