,Quarter,Tm,Detail,DET,SFO
0,1.0,49ers,Gene Washington 32 yard pass from Jim Plunkett (Ray Wersching kick),0,7
1,2.0,49ers,Gene Washington 35 yard pass from Jim Plunkett (Ray Wersching kick),0,14
2,2.0,Lions,Dexter Bussey 1 yard rush (Steve Mike-Mayer kick),7,14
3,2.0,49ers,Wilbur Jackson 48 yard rush (Ray Wersching kick),7,21
4,3.0,49ers,Delvin Williams 6 yard rush (Ray Wersching kick),7,28
