,Quarter,Tm,Detail,FRN,PRV
0,1,Steam Roller,Butch Meeker 95 yard kickoff return (Butch Meeker kick),0,7
1,2,Yellow Jackets,Ed Halicki 5 yard rush (Ed Halicki kick),7,7
