,Quarter,Tm,Detail,MIN,CHI
0,1.0,Vikings,Dave Osborn 1 yard rush (Fred Cox kick),7,0
1,1.0,Vikings,Fred Cox 25 yard field goal,10,0
2,2.0,Vikings,Bob Grim 6 yard pass from Bob Lee (Fred Cox kick),17,0
3,3.0,Bears,Mac Percival 22 yard field goal,17,3
4,3.0,Vikings,Bob Grim 40 yard pass from Bob Lee (Fred Cox kick),24,3
5,3.0,Bears,Dick Gordon 6 yard pass from Bobby Douglass (Mac Percival kick),24,10
6,4.0,Vikings,Fred Cox 39 yard field goal,27,10
