,Quarter,Time,Tm,Detail,CLE,PIT
0,2.0,,Steelers,Ernie Mills 2 yard pass from Kordell Stewart (Norm Johnson kick),0,7
1,2.0,,Browns,Matt Stover 29 yard field goal,3,7
2,3.0,,Steelers,Norm Johnson 38 yard field goal,3,10
3,3.0,,Steelers,Norm Johnson 34 yard field goal,3,13
4,4.0,,Steelers,Yancey Thigpen 9 yard pass from Neil O'Donnell (Norm Johnson kick),3,20
