,Quarter,Time,Tm,Detail,NOR,SEA
0,1.0,11:43,Saints,Garrett Hartley 26 yard field goal,3,0
1,1.0,6:21,Saints,Heath Evans 1 yard pass from Drew Brees (Garrett Hartley kick),10,0
2,1.0,3:38,Seahawks,John Carlson 11 yard pass from Matt Hasselbeck (Olindo Mare kick),10,7
3,2.0,13:38,Saints,Julius Jones 5 yard rush (Garrett Hartley kick),17,7
4,2.0,11:00,Seahawks,John Carlson 7 yard pass from Matt Hasselbeck (Olindo Mare kick),17,14
5,2.0,7:03,Seahawks,Olindo Mare 29 yard field goal,17,17
6,2.0,1:15,Seahawks,Brandon Stokley 45 yard pass from Matt Hasselbeck (Olindo Mare kick),17,24
7,2.0,0:00,Saints,Garrett Hartley 22 yard field goal,20,24
8,3.0,11:48,Seahawks,Mike Williams 38 yard pass from Matt Hasselbeck (Olindo Mare kick),20,31
9,3.0,5:27,Seahawks,Olindo Mare 39 yard field goal,20,34
10,4.0,13:11,Saints,Julius Jones 4 yard rush (Garrett Hartley kick),27,34
11,4.0,9:13,Saints,Garrett Hartley 21 yard field goal,30,34
12,4.0,3:22,Seahawks,Marshawn Lynch 67 yard rush (Olindo Mare kick),30,41
13,4.0,1:30,Saints,Devery Henderson 6 yard pass from Drew Brees (run failed),36,41
