,Quarter,Tm,Detail,SFO,MIN
0,1.0,Vikings,Paul Krause 22 yard defensive fumble return (Fred Cox kick),0,7
1,1.0,49ers,Dick Witcher 24 yard pass from John Brodie (Bruce Gossett kick),7,7
2,2.0,49ers,Bruce Gossett 40 yard field goal,10,7
3,4.0,49ers,John Brodie 1 yard rush (Bruce Gossett kick),17,7
4,4.0,Vikings,Gene Washington 24 yard pass from Gary Cuozzo (Fred Cox kick),17,14
