,Quarter,Tm,Detail,BKN,PHI
0,2.0,Eagles,Bill Hewitt 16 yard pass from Dave Smukler (Dave Smukler kick),0,7
1,2.0,Dodgers,Ralph Kercheval 6 yard rush,6,7
2,4.0,Dodgers,Jeff Barrett 60 yard pass from Reino Nori (Joe Maniaci kick),13,7
