,Quarter,Time,Tm,Detail,OAK,SEA
0,1.0,,Seahawks,Chris Warren 15 yard rush (Todd Peterson kick),0,7
1,1.0,,Seahawks,Chris Warren 14 yard rush (Todd Peterson kick),0,14
2,1.0,,Raiders,Jeff Jaeger 42 yard field goal,3,14
3,1.0,,Seahawks,Todd Peterson 39 yard field goal,3,17
4,2.0,,Seahawks,Joey Galloway 43 yard pass from John Friesz (Todd Peterson kick),3,24
5,2.0,,Seahawks,Todd Peterson 19 yard field goal,3,27
6,3.0,,Seahawks,Corey Harris 57 yard defensive fumble return (Todd Peterson kick),3,34
7,3.0,7:49,Seahawks,Chris Warren 35 yard rush (Todd Peterson kick),3,41
8,4.0,7:49,Seahawks,Todd Peterson 38 yard field goal,3,44
9,4.0,7:49,Raiders,Tim Brown 80 yard pass from Billy Joe Hobert (Jeff Jaeger kick),10,44
