,Quarter,Time,Tm,Detail,OAK,CAR
0,1.0,,Panthers,Fred Lane 15 yard rush (John Kasay kick),0,7
1,1.0,,Panthers,Fred Lane 18 yard rush (John Kasay kick),0,14
2,2.0,,Panthers,Kerry Collins 6 yard rush (John Kasay kick),0,21
3,2.0,,Raiders,Napoleon Kaufman 23 yard pass from Jeff George (Cole Ford kick),7,21
4,2.0,,Panthers,Scott Greene 10 yard rush (John Kasay kick),7,28
5,3.0,,Raiders,James Jett 16 yard pass from Jeff George (Cole Ford kick),14,28
6,3.0,,Panthers,John Kasay 54 yard field goal,14,31
7,4.0,,Panthers,Fred Lane 32 yard rush (John Kasay kick),14,38
