,Quarter,Tm,Detail,CIN,MIA
0,1.0,Dolphins,Mercury Morris 4 yard pass from Bob Griese (Garo Yepremian kick),0,7
1,2.0,Dolphins,Garo Yepremian 43 yard field goal,0,10
2,2.0,Bengals,Horst Muhlmann 29 yard field goal,3,10
3,3.0,Dolphins,Jim Mandich 4 yard pass from Bob Griese (Garo Yepremian kick),3,17
4,4.0,Dolphins,Benny Malone 2 yard rush (Garo Yepremian kick),3,24
