,Quarter,Time,Tm,Detail,PHI,BUF
0,1.0,3:42,Eagles,Jake Elliott 37 yard field goal,3,0
1,2.0,14:54,Bills,Cole Beasley 14 yard pass from Josh Allen (Stephen Hauschka kick),3,7
2,2.0,0:30,Eagles,Dallas Goedert 5 yard pass from Carson Wentz (Miles Sanders run),11,7
3,3.0,14:14,Eagles,Miles Sanders 65 yard rush (Jake Elliott kick failed),17,7
4,3.0,9:44,Bills,Devin Singletary 28 yard pass from Josh Allen (Stephen Hauschka kick failed),17,13
5,3.0,5:43,Eagles,Boston Scott 4 yard rush (Jake Elliott kick),24,13
6,4.0,6:17,Eagles,Jordan Howard 3 yard rush (Jake Elliott kick),31,13
