,Quarter,Tm,Detail,CIN,SDG
0,2.0,Bengals,Horst Muhlmann 53 yard field goal,3,0
1,2.0,Bengals,Lemar Parrish 79 yard punt return (Horst Muhlmann kick),10,0
2,2.0,Chargers,John Hadl 2 yard rush (Mike Mercer kick),10,7
3,3.0,Bengals,Jess Phillips 13 yard rush (Horst Muhlmann kick),17,7
4,4.0,Chargers,Willie Frazier 2 yard pass from John Hadl (Mike Mercer kick),17,14
