,Quarter,Tm,Detail,NOR,PHI
0,1.0,Saints,Jimmy Hester 4 yard pass from Billy Kilmer (Charlie Durkee kick),7,0
1,2.0,Eagles,Gary Ballman 55 yard pass from Norm Snead (Sam Baker kick),7,7
2,2.0,Saints,Billy Kilmer 2 yard rush (Charlie Durkee kick),14,7
3,2.0,Eagles,Ben Hawkins 14 yard pass from Norm Snead,14,13
4,3.0,Saints,Charlie Durkee 10 yard field goal,17,13
5,3.0,Eagles,"Safety, Conjar tackled Brown in end zone",17,15
6,4.0,Eagles,Ben Hawkins 23 yard pass from Norm Snead (Sam Baker kick),17,22
7,4.0,Eagles,Tom Woodeshick 30 yard rush (Sam Baker kick),17,29
