,Quarter,Tm,Detail,NYG,PHI
0,1.0,Eagles,Norm Willey fumble recovery in end zone (Bobby Walston kick),0,7
1,2.0,Eagles,Pete Pihos 14 yard pass from Adrian Burk (Bobby Walston kick),0,14
2,2.0,Eagles,Jerry Norton 69 yard interception return,0,20
3,3.0,Giants,Bob Topp 7 yard pass from Bob Clatterbuck (Ben Agajanian kick),7,20
4,3.0,Giants,Ken MacAfee 72 yard pass from Bob Clatterbuck (Ben Agajanian kick),14,20
5,4.0,Eagles,Bobby Walston 23 yard pass from Adrian Burk (Bobby Walston kick),14,27
6,4.0,Eagles,"Safety, Landry punt hit cross bar",14,29
