,Quarter,Tm,Detail,DET,GNB
0,1.0,Packers,Gary Knafelc 12 yard pass from Lamar McHan (Paul Hornung kick),0,7
1,1.0,Packers,Don McIlhenny 4 yard pass from Lamar McHan (Paul Hornung kick),0,14
2,2.0,Lions,Nick Pietrosante 1 yard rush (Wayne Walker kick),7,14
3,3.0,Lions,Jim Martin 50 yard field goal,10,14
4,4.0,Packers,Max McGee 41 yard pass from Lamar McHan (Paul Hornung kick),10,21
5,4.0,Packers,Max McGee 36 yard pass from Lamar McHan (Paul Hornung kick),10,28
