,Quarter,Tm,Detail,PHI,BUF
0,1.0,Bills,Greg Bell 12 yard rush (Joe Danelo kick),0,7
1,1.0,Eagles,Tony Woodruff 15 yard pass from Ron Jaworski (Paul McFadden kick),7,7
2,2.0,Bills,Joe Danelo 27 yard field goal,7,10
3,2.0,Eagles,Vyto Kab 4 yard pass from Ron Jaworski (Paul McFadden kick),14,10
4,2.0,Eagles,Paul McFadden 36 yard field goal,17,10
5,3.0,Eagles,Paul McFadden 22 yard field goal,20,10
6,4.0,Bills,Greg Bell 3 yard rush (Joe Danelo kick),20,17
7,4.0,Eagles,Ron Jaworski 1 yard rush (Paul McFadden kick),27,17
