,Quarter,Tm,Detail,GNB,NOR
0,1.0,Packers,Chris Jacke 38 yard field goal,3,0
1,2.0,Saints,Quinn Early 24 yard pass from Wade Wilson (Morten Andersen kick),3,7
2,2.0,Packers,Jackie Harris 1 yard pass from Brett Favre (Chris Jacke kick),10,7
3,2.0,Saints,Marcus Dowdell 11 yard pass from Wade Wilson (Morten Andersen kick),10,14
4,3.0,Packers,Chris Jacke 20 yard field goal,13,14
5,4.0,Packers,Chris Jacke 44 yard field goal,16,14
6,4.0,Saints,Morten Andersen 27 yard field goal,16,17
7,4.0,Packers,Chris Jacke 36 yard field goal,19,17
