,Quarter,Tm,Detail,NOR,CHI
0,1.0,Bears,Kevin Butler 19 yard field goal,0,3
1,2.0,Bears,James Thornton 18 yard pass from Mike Tomczak (Kevin Butler kick),0,10
2,2.0,Saints,Morten Andersen 47 yard field goal,3,10
3,3.0,Bears,Kevin Butler 22 yard field goal,3,13
4,4.0,Saints,Morten Andersen 38 yard field goal,6,13
5,4.0,Bears,Kevin Butler 21 yard field goal,6,16
