,Quarter,Time,Tm,Detail,DEN,DAL
0,1.0,6:13,Broncos,Jason Elam 24 yard field goal,3,0
1,1.0,0:32,Cowboys,Jon Hilbert 43 yard field goal,3,3
2,2.0,9:58,Broncos,Mike Anderson 1 yard rush (Jason Elam kick),10,3
3,2.0,8:52,Broncos,Dwayne Carswell 4 yard pass from Brian Griese (Jason Elam kick),17,3
4,3.0,9:02,Broncos,Jason Elam 50 yard field goal,20,3
5,3.0,7:13,Broncos,Jason Elam 46 yard field goal,23,3
6,4.0,11:13,Broncos,Jason Elam 28 yard field goal,26,3
7,4.0,8:12,Cowboys,Troy Hambrick 1 yard rush (Jon Hilbert kick),26,10
8,4.0,7:29,Cowboys,Reggie Swinton 65 yard punt return (Jon Hilbert kick),26,17
9,4.0,1:10,Cowboys,Troy Hambrick 1 yard rush (Jon Hilbert kick),26,24
