,Quarter,Tm,Detail,RAM,NOR
0,1.0,Rams,Dwight Scales 30 yard blocked punt return,6,0
1,2.0,Rams,Willie Miller 20 yard pass from Pat Haden (Frank Corral kick),13,0
2,2.0,Rams,Rod Perry 28 yard interception return (Frank Corral kick),20,0
3,2.0,Saints,Ike Harris 6 yard pass from Archie Manning (John Leypoldt kick),20,7
4,3.0,Saints,Ike Harris 8 yard pass from Archie Manning,20,13
5,4.0,Rams,Frank Corral 34 yard field goal,23,13
6,4.0,Saints,Tony Galbreath 33 yard pass from Archie Manning (John Leypoldt kick),23,20
7,4.0,Rams,Frank Corral 39 yard field goal,26,20
