,Quarter,Tm,Detail,BOS,CRD
0,1,Cardinals,Abe Martin 43 yard pass from Walt Holmer,0,6
1,3,Braves,"Safety,",2,6
2,4,Braves,Cliff Battles 15 yard rush,8,6
