,Quarter,Tm,Detail,PHI,NOR
0,1,Saints,Danny Abramowicz 27 yard pass from Archie Manning (Toni Linhart kick),0,7
1,2,Eagles,Tom Dempsey 17 yard field goal,3,7
2,3,Saints,Danny Abramowicz 10 yard pass from Archie Manning (Toni Linhart kick),3,14
3,4,Saints,Bob Gresham 1 yard rush (Toni Linhart kick),3,21
