,Quarter,Tm,Detail,CRD,PHI
0,1.0,Eagles/Steelers,Ben Kish 86 yard interception return (Roy Zimmerman kick),0,7
1,1.0,Eagles/Steelers,Tony Bova 31 yard pass from Roy Zimmerman (Roy Zimmerman kick),0,14
2,1.0,Eagles/Steelers,Jack Hinkle fumble recovery in end zone (Roy Zimmerman kick),0,21
3,2.0,Cardinals,Don Currivan 35 yard pass from Walt Masters,6,21
4,2.0,Cardinals,Johnny Hall 67 yard pass from Ronnie Cahill (Dixie Stokes kick),13,21
5,4.0,Eagles/Steelers,Bob Thurbon 3 yard rush,13,27
6,4.0,Eagles/Steelers,Tony Bova 26 yard pass from Roy Zimmerman (Roy Zimmerman kick),13,34
