,Quarter,Tm,Detail,CRD,CLE
0,2.0,Cardinals,Ernie Nevers unknown yard rush (Ernie Nevers kick),7,0
1,2.0,Cardinals,Ernie Nevers unknown yard rush (Ernie Nevers kick),14,0
2,3.0,Indians,Otto Vokaty 3 yard rush,14,6
