,Quarter,Tm,Detail,STL,MIN
0,1.0,Cardinals,Jim Bakken 27 yard field goal,3,0
1,2.0,Cardinals,Jim Bakken 13 yard field goal,6,0
2,2.0,Vikings,Clint Jones 4 yard rush (Fred Cox kick),6,7
3,3.0,Cardinals,Ahmad Rashad 24 yard pass from Gary Cuozzo,12,7
4,4.0,Vikings,Gene Washington 4 yard pass from Fran Tarkenton (Fred Cox kick),12,14
5,4.0,Vikings,Fred Cox 37 yard field goal,12,17
6,4.0,Cardinals,Ahmad Rashad 24 yard pass from Gary Cuozzo (Jim Bakken kick),19,17
