,Quarter,Tm,Detail,WAS,DET
0,1.0,Redskins,Bill Dudley 23 yard field goal,3,0
1,1.0,Lions,Jim Doran 43 yard pass from Bobby Layne (Doak Walker kick),3,7
2,2.0,Redskins,Chuck Drazenovich 1 yard rush (Bill Dudley kick),10,7
3,2.0,Lions,Bobby Layne 12 yard rush (Doak Walker kick),10,14
4,3.0,Redskins,Chuck Drazenovich 1 yard rush (Bill Dudley kick),17,14
5,3.0,Lions,Bob Hoernschemeyer 5 yard rush (Doak Walker kick),17,21
6,4.0,Lions,Doak Walker 20 yard rush (Doak Walker kick),17,28
7,4.0,Lions,Pat Harder 5 yard pass from Bobby Layne (Doak Walker kick),17,35
