,Quarter,Tm,Detail,RAI,SFO
0,1.0,Raiders,Chris Bahr 41 yard field goal,3,0
1,2.0,49ers,Freddie Solomon 18 yard pass from Joe Montana (Ray Wersching kick),3,7
2,2.0,Raiders,Chris Bahr 42 yard field goal,6,7
3,2.0,49ers,Dwight Clark 41 yard pass from Joe Montana (Ray Wersching kick),6,14
4,2.0,Raiders,Marcus Allen 3 yard rush (Chris Bahr kick),13,14
5,3.0,49ers,Ray Wersching 22 yard field goal,13,17
6,4.0,Raiders,Todd Christensen 3 yard pass from Jim Plunkett (Chris Bahr kick),20,17
7,4.0,Raiders,Chris Bahr 43 yard field goal,23,17
