,Quarter,Tm,Detail,MIA,OAK
0,1.0,Dolphins,Nat Moore 89 yard kickoff return (Garo Yepremian kick),7,0
1,2.0,Raiders,Charlie Smith 31 yard pass from Ken Stabler (George Blanda kick),7,7
2,2.0,Dolphins,Garo Yepremian 33 yard field goal,10,7
3,3.0,Raiders,Fred Biletnikoff 13 yard pass from Ken Stabler (George Blanda kick),10,14
4,3.0,Dolphins,Paul Warfield 16 yard pass from Bob Griese,16,14
5,4.0,Dolphins,Garo Yepremian 46 yard field goal,19,14
6,4.0,Raiders,Cliff Branch 72 yard pass from Ken Stabler (George Blanda kick),19,21
7,4.0,Dolphins,Benny Malone 23 yard rush (Garo Yepremian kick),26,21
8,4.0,Raiders,Clarence Davis 8 yard pass from Ken Stabler (George Blanda kick),26,28
