,Quarter,Time,Tm,Detail,CLE,NWE
0,1.0,6:38,Patriots,Mike Nugent 20 yard field goal,0,3
1,1.0,5:55,Patriots,Dont'a Hightower 26 yard fumble return (Mike Nugent kick),0,10
2,1.0,1:53,Patriots,Julian Edelman 8 yard pass from Tom Brady (Mike Nugent kick),0,17
3,2.0,7:50,Browns,Demetrius Harris 21 yard pass from Baker Mayfield (Austin Seibert kick),7,17
4,3.0,8:41,Browns,Austin Seibert 38 yard field goal,10,17
5,3.0,6:20,Patriots,Julian Edelman 14 yard pass from Tom Brady (Mike Nugent kick),10,24
6,4.0,7:46,Patriots,Mike Nugent 29 yard field goal,10,27
7,4.0,2:38,Browns,Austin Seibert 47 yard field goal,13,27
