,Quarter,Tm,Detail,MIA,NYJ
0,1.0,Dolphins,Jim Mandich 18 yard pass from Bob Griese (Garo Yepremian kick),7,0
1,2.0,Dolphins,Garo Yepremian 44 yard field goal,10,0
2,2.0,Dolphins,Nat Moore 16 yard pass from Bob Griese (Garo Yepremian kick),17,0
3,3.0,Dolphins,Garo Yepremian 34 yard field goal,20,0
4,4.0,Jets,Clark Gaines 1 yard rush (Pat Leahy kick),20,7
5,4.0,Dolphins,Gary Davis 28 yard rush (Garo Yepremian kick),27,7
