,Quarter,Tm,Detail,WAS,CRD
0,1.0,Cardinals,John David Crow 9 yard pass from King Hill (Bobby Joe Conrad kick),0,7
1,2.0,Cardinals,Bobby Joe Conrad 35 yard rush (Bobby Joe Conrad kick),0,14
2,2.0,Cardinals,Sonny Randle 22 yard pass from King Hill (Bobby Joe Conrad kick),0,21
3,3.0,Cardinals,King Hill 27 yard rush (Bobby Joe Conrad kick),0,28
4,3.0,Redskins,Dick James 4 yard rush (Sam Baker kick),7,28
5,3.0,Cardinals,Bobby Joe Conrad 56 yard rush (Bobby Joe Conrad kick),7,35
6,3.0,Redskins,Dick James 41 yard pass from Eddie LeBaron (Sam Baker kick),14,35
7,4.0,Cardinals,Bobby Joe Conrad 5 yard pass from M.C. Reynolds (Bobby Joe Conrad kick),14,42
8,4.0,Redskins,Dick James 3 yard rush (Sam Baker kick),21,42
9,4.0,Cardinals,Woodley Lewis 85 yard pass from M.C. Reynolds (Bobby Joe Conrad kick),21,49
