,Quarter,Tm,Detail,NYG,STL
0,1.0,Cardinals,Jim Bakken 14 yard field goal,0,3
1,1.0,Giants,Rocky Thompson 93 yard kickoff return (Pete Gogolak kick),7,3
2,1.0,Giants,Bob Tucker 10 yard pass from Fran Tarkenton (Pete Gogolak kick),14,3
3,2.0,Giants,Fran Tarkenton 2 yard rush (Pete Gogolak kick),21,3
4,2.0,Cardinals,Mel Gray 64 yard pass from Pete Beathard (Jim Bakken kick),21,10
5,3.0,Cardinals,Mel Gray 60 yard pass from Pete Beathard (Jim Bakken kick),21,17
6,4.0,Cardinals,Jim Bakken 22 yard field goal,21,20
