,Quarter,Tm,Detail,SEA,DAL
0,1.0,Cowboys,Tony Dorsett 8 yard rush (Rafael Septien kick),0,7
1,1.0,Seahawks,Dave Krieg 4 yard rush (Norm Johnson kick),7,7
2,2.0,Seahawks,Steve Largent 11 yard pass from Dave Krieg (Norm Johnson kick),14,7
3,2.0,Seahawks,Byron Franklin 19 yard pass from Dave Krieg (Norm Johnson kick),21,7
4,2.0,Seahawks,Norm Johnson 42 yard field goal,24,7
5,3.0,Cowboys,Herschel Walker 1 yard rush (Rafael Septien kick),24,14
6,4.0,Seahawks,Curt Warner 9 yard rush (Norm Johnson kick),31,14
