,Quarter,Time,Tm,Detail,NWE,SDG
0,1.0,3:15,Patriots,Stephen Gostkowski 22 yard field goal,3,0
1,2.0,13:29,Chargers,Malcom Floyd 15 yard pass from Philip Rivers (Nick Novak kick),3,7
2,2.0,11:06,Chargers,Darrell Stuckey 53 yard defensive fumble return (Nick Novak kick),3,14
3,2.0,7:38,Patriots,Stephen Gostkowski 22 yard field goal,6,14
4,2.0,3:28,Patriots,Rob Gronkowski 14 yard pass from Tom Brady (Stephen Gostkowski kick),13,14
5,4.0,10:34,Patriots,Stephen Gostkowski 38 yard field goal,16,14
6,4.0,8:41,Patriots,Julian Edelman 69 yard pass from Tom Brady (Stephen Gostkowski kick),23,14
