,Quarter,Time,Tm,Detail,KAN,NOR
0,1.0,12:49,Chiefs,Eddie Kennison 21 yard pass from Trent Green (Lawrence Tynes kick),7,0
1,1.0,2:27,Chiefs,Lawrence Tynes 24 yard field goal,10,0
2,2.0,14:54,Saints,Aaron Brooks 1 yard rush (John Carney kick),10,7
3,2.0,9:41,Saints,Deuce McAllister 13 yard rush (John Carney kick),10,14
4,2.0,6:04,Chiefs,Lawrence Tynes 44 yard field goal,13,14
5,3.0,10:05,Saints,John Carney 39 yard field goal,13,17
6,4.0,13:41,Saints,John Carney 38 yard field goal,13,20
7,4.0,8:07,Chiefs,Derrick Blaylock 3 yard rush (Lawrence Tynes kick),20,20
8,4.0,5:28,Saints,Joe Horn 42 yard pass from Aaron Brooks (John Carney kick),20,27
